"wavelength","k"
507.18,3209.27538398296
507.63,3261.85582420868
508.09,3272.8054112635
508.54,3318.13595425838
509,3260.13677641167
509.45,3290.40696588064
509.91,3245.26327590717
510.36,3325.49796330206
510.82,3298.85272244852
511.27,3311.74558092604
511.73,3325.1989984678
512.19,3316.23005343996
512.64,3320.22870809821
513.1,3347.17291378602
513.55,3379.90956313764
514.01,3324.563698195
514.46,3337.68078029822
514.92,3374.22923128667
515.37,3390.89652079674
515.83,3409.65656414664
516.28,3399.15542434321
516.73,3372.73440711536
517.19,3481.37075376509
517.64,3439.81464180276
518.1,3489.03172764303
518.55,3500.01868530214
519.01,3473.26133263575
519.46,3492.28297021563
519.92,3522.9642363317
520.37,3532.94218767517
520.83,3559.36320490302
521.28,3536.71661870772
521.74,3587.652752345
522.19,3644.45607085467
522.65,3635.18816099256
523.1,3664.37460293733
523.55,3677.11797899772
524.01,3659.51642438058
524.46,3746.8141559849
524.92,3746.8141559849
525.37,3771.1797899772
525.83,3796.47968907657
526.28,3858.88859822863
526.73,3896.44605553272
527.19,3883.59056765948
527.64,3907.35827198326
528.1,3988.00403602526
528.55,4044.2094248664
529.01,4100.97537277178
529.46,4163.75798796666
529.91,4114.31667850069
530.37,4169.17672558765
530.82,4214.91834522964
531.28,4199.93273291229
531.73,4302.70189468964
532.18,4369.74475877275
532.64,4350.57363877574
533.09,4480.06278261519
533.54,4533.76434096939
534,4513.09839680108
534.45,4599.947681154
534.91,4656.15306999514
535.36,4700.026159423
535.81,4726.37243544228
536.27,4785.26850779177
536.72,4842.52027355282
537.17,4834.63507604918
537.63,4968.38446877686
538.08,5036.58582159274
538.54,5053.40259351994
538.99,5159.64722149557
539.44,5250.98097836242
539.9,5215.29205127247
540.35,5337.04548002541
540.8,5371.46380656975
541.26,5459.02313240405
541.71,5534.13804701222
542.16,5616.87656489405
542.62,5726.18558242087
543.07,5821.06954669457
543.52,5885.68332149931
543.98,5909.45102582309
544.43,6086.2513546844
544.88,6083.22433573751
545.34,6168.16771927202
545.79,6251.50416682238
546.24,6316.86535371277
546.69,6426.21174184386
547.15,6544.26548077283
547.6,6640.4947868007
548.05,6717.32874920588
548.51,6802.94480361748
548.96,6882.09574348817
549.41,6964.23633170149
549.86,7067.30445831309
550.32,7183.00384917224
550.77,7308.86804439628
551.22,7410.77768227512
551.68,7536.45502447775
552.13,7584.51362158526
552.58,7712.50794125341
553.03,7804.85070443589
553.49,7931.46231174558
553.94,8016.36832467581
554.39,8074.33013191823
554.84,8218.20695840652
555.3,8407.63855151538
555.75,8505.25056990172
556.2,8608.28132590904
556.65,8756.00732463844
557.11,8768.82544190739
557.56,8895.66127284278
558.01,9010.16480436489
558.46,9129.67599686087
558.92,9242.01203333458
559.37,9389.51380843828
559.82,9494.15150042976
560.27,9624.83650360626
560.72,9740.349041444
561.18,9812.47430770956
561.63,9966.29171493704
562.08,10030.8681191375
562.53,10206.3978474532
562.99,10370.2679472327
563.44,10430.7335849621
563.89,10564.7072013154
564.34,10676.9311259763
564.79,10798.385589895
565.25,10912.3659329571
565.7,11014.9108711088
566.15,11207.6684479988
566.6,11282.7459920027
567.05,11377.443103255
567.5,11553.1596845921
567.96,11725.7745057738
568.41,11829.7021562839
568.86,11938.0395380993
569.31,12121.1928696887
569.76,12298.8900930528
570.21,12476.1762397698
570.67,12511.4914608169
571.12,12674.913113345
571.57,12864.7184124967
572.02,12980.7541387944
572.47,13188.3104749804
572.92,13330.1692888374
573.37,13413.2441421578
573.83,13660.1890952577
574.28,13826.7498785455
574.73,14028.6258828805
575.18,14167.4576777906
575.63,14400.9118427445
576.08,14580.2160020928
576.53,14798.8714077507
576.98,14986.3223588325
577.44,15177.8840763855
577.89,15392.0550095295
578.34,15589.7455061848
578.79,15716.2076310774
579.24,16006.5024851452
579.69,16306.7005493479
580.14,16584.1399155424
580.59,16739.0784408984
581.04,17025.3372697036
581.49,17248.3276654583
581.95,17501.9619567248
582.4,17698.9797825031
582.85,18053.4025935199
583.3,18375.3877200194
583.75,18686.9090773198
584.2,18929.3321873015
584.65,19216.7868754438
585.1,19586.4195224037
585.55,19817.8930453305
586,20129.4517732352
586.45,20421.9888635599
586.9,20819.1262752719
587.35,21063.9411039276
587.8,21469.6737546246
588.25,21849.8449119922
588.71,22121.6039463358
589.16,22358.5709480922
589.61,22768.6012182817
