"wavelength","k"
314.07,7296.64785679584
314.53,7159.38562726559
315,7081.28106431481
315.47,7030.15807765612
315.93,6903.28487611645
316.4,6801.63683246758
316.86,6751.93392877163
317.33,6621.24892559513
317.8,6556.11196233043
318.26,6495.27261855824
318.73,6459.88265630255
319.19,6371.83751261258
319.66,6334.72850255989
320.13,6288.65054747935
320.59,6185.2460854292
321.06,6159.94618632983
321.52,6193.01917111999
321.99,6120.81916364588
322.45,6087.82092006428
322.92,6017.30258978288
323.39,6016.14410105011
323.85,5960.38715946037
324.32,5940.13229193916
324.78,5944.99047049591
325.25,5825.1055719571
325.71,5894.12907806719
326.18,5824.58238349714
326.64,5858.85122762435
327.11,5818.75256922904
327.58,5743.78713703801
328.04,5744.68403154079
328.51,5658.80638289921
328.97,5615.64333495273
329.44,5542.62117418439
329.9,5456.22033708285
330.37,5326.54434022198
330.83,5331.47725998729
331.3,5166.74763630928
331.76,5111.73810680519
332.23,4965.65641466423
332.69,4878.95661272843
333.16,4750.62595762173
333.62,4625.80813931761
334.09,4475.91464553982
334.56,4298.25479278
335.02,4137.86015919878
335.49,4013.11708210322
335.95,3867.96965506932
336.42,3730.89427856048
336.88,3549.72158899809
337.35,3437.49766433723
337.81,3290.10800104638
338.28,3207.22000074741
338.74,3112.70974251654
339.2,2993.46014425053
339.67,2889.42038192758
340.13,2753.09241750439
340.6,2614.26062259427
341.06,2488.28431555738
341.53,2424.49269404686
341.99,2326.61908143055
342.46,2268.76938600097
342.92,2135.95425838036
343.39,2054.44897043985
343.85,1991.96532007922
344.32,1918.86841810232
344.78,1937.51634963937
345.25,1954.74419821368
345.71,1973.54161216787
346.17,1894.09170746291
346.64,1779.43869352367
347.1,1723.42015770395
347.57,1593.29571359169
348.03,1599.42449269405
348.5,1536.04394783064
348.96,1558.16734556598
349.43,1504.46578721178
349.89,1571.88235733772
350.35,1541.9485033073
350.82,1415.89745506185
351.28,1415.89745506185
351.75,1436.82499346014
352.21,1307.59744385067
352.67,1409.50708172951
353.14,1287.26783512089
353.6,1335.25169101984
354.07,1265.55551403266
354.53,1307.97114989349
355,1172.12900332598
355.46,1198.84898538809
355.92,1125.67734220262
356.39,1138.4580888673
356.85,1195.5977428155
357.31,1057.70021301244
357.78,1001.83115960985
358.24,1022.31025075675
358.71,984.790164056953
359.17,1015.0977241302
359.63,954.594715796555
360.1,977.951343473224
360.56,947.270077357151
361.03,933.069247729736
361.49,957.771217160582
361.95,940.431256773422
362.42,931.125976307037
362.88,883.964273702306
363.34,890.541500056055
363.81,905.302888747711
364.27,865.577936395231
364.73,873.612616316006
